F	X	Y	Z	W	P	R
3.696	1.035	16.447	0.081	0.56094	-0.03529	0
3.701	-1.037	16.487	0.081	0.56231	0.03538	0
3.706	-3.103	16.267	0.082	0.55478	0.10583	0
3.71	-5.13	15.788	0.082	0.53844	0.17495	0
3.717	-7.085	15.056	0.082	0.5135	0.24163	0
3.719	-8.938	14.083	0.083	0.48031	0.30481	0
3.726	-10.658	12.883	0.083	0.43937	0.36348	0
3.729	-12.218	11.473	0.084	0.39129	0.41668	0
3.734	-13.591	9.875	0.084	0.33678	0.46354	0
3.739	-14.757	8.113	0.084	0.27668	0.50329	0
3.744	-15.695	6.214	0.085	0.21192	0.53527	0
3.75	-16.388	4.208	0.085	0.14351	0.55893	0
3.755	-16.826	2.126	0.086	0.07249	0.57386	0
3.76	-17	0	0.086	0	0.57979	0
3.766	-16.906	-2.136	0.086	-0.07284	0.57657	0
3.771	-16.543	-4.248	0.087	-0.14486	0.56422	0
3.775	-15.918	-6.302	0.087	-0.21494	0.54288	0
3.782	-15.037	-8.267	0.088	-0.28194	0.51285	0
3.784	-13.915	-10.11	0.088	-0.3448	0.47457	0
3.792	-12.567	-11.802	0.088	-0.40249	0.42861	0
3.8	-11.015	-13.314	0.089	-0.45409	0.37565	0
3.805	-9.281	-14.624	0.089	-0.49874	0.31651	0
3.809	-7.392	-15.708	0.09	-0.53572	0.25209	0
3.816	-5.377	-16.548	0.09	-0.56439	0.18338	0
3.822	-3.268	-17.131	0.091	-0.58426	0.11145	0
3.827	-1.098	-17.446	0.091	-0.59498	0.03743	0
3.833	1.1	-17.485	0.091	-0.59634	-0.03752	0
3.839	3.29	-17.249	0.092	-0.58828	-0.11222	0
3.844	5.439	-16.739	0.092	-0.57087	-0.18549	0
3.847	7.511	-15.961	0.093	-0.54436	-0.25615	0
3.855	9.473	-14.928	0.093	-0.50911	-0.32309	0
3.86	11.295	-13.653	0.093	-0.46565	-0.38522	0
3.864	12.946	-12.158	0.094	-0.41463	-0.44154	0
3.87	14.401	-10.463	0.094	-0.35682	-0.49113	0
3.877	15.633	-8.594	0.095	-0.29311	-0.53318	0
3.883	16.624	-6.582	0.095	-0.22448	-0.56698	0
3.889	17.357	-4.457	0.096	-0.15199	-0.59196	0
3.892	17.818	-2.251	0.096	-0.07677	-0.6077	0
3.895	18	0	0.096	0	-0.6139	0
3.422	17.926	1.984	0.097	0.06767	-0.61136	0
3.428	17.633	3.952	0.097	0.13477	-0.60136	0
3.433	17.124	5.879	0.098	0.20049	-0.58402	0
3.438	16.405	7.742	0.098	0.26403	-0.5595	0
3.443	15.484	9.518	0.098	0.3246	-0.52807	0
3.448	14.371	11.185	0.099	0.38148	-0.49012	0
3.454	13.078	12.723	0.099	0.43392	-0.44604	0
3.455	11.622	14.111	0.099	0.48127	-0.39636	0
3.46	10.018	15.334	0.1	0.52295	-0.34166	0
3.465	8.286	16.374	0.1	0.55843	-0.28259	0
3.472	6.447	17.219	0.101	0.58725	-0.21986	0
3.475	4.522	17.857	0.101	0.60903	-0.15423	0
3.48	2.535	18.281	0.101	0.62348	-0.08646	0
3.486	0.51	18.484	0.102	0.6304	-0.01738	0
3.49	-1.53	18.463	0.102	0.62968	0.05218	0
3.494	-3.558	18.217	0.103	0.62129	0.12136	0
3.499	-5.551	17.748	0.103	0.60531	0.18932	0
3.505	-7.484	17.063	0.103	0.58193	0.25525	0
3.508	-9.333	16.166	0.104	0.55135	0.31832	0
3.515	-11.076	15.069	0.104	0.51394	0.37775	0
3.518	-12.69	13.785	0.104	0.47014	0.4328	0
3.522	-14.156	12.329	0.105	0.42047	0.48279	0
3.529	-15.455	10.716	0.105	0.36548	0.5271	0
3.534	-16.571	8.968	0.106	0.30584	0.56516	0
3.539	-17.489	7.104	0.106	0.24226	0.59648	0
3.543	-18.198	5.146	0.106	0.1755	0.62066	0
3.55	-18.689	3.119	0.107	0.10636	0.63738	0
3.555	-18.953	1.046	0.107	0.03566	0.6464	0
3.56	-18.989	-1.048	0.108	-0.03573	0.64763	0
3.565	-18.793	-3.136	0.108	-0.10696	0.64095	0
3.569	-18.368	-5.194	0.108	-0.17713	0.62644	0
3.574	-17.717	-7.196	0.109	-0.24542	0.60426	0
3.58	-16.849	-9.118	0.109	-0.31097	0.57464	0
3.583	-15.772	-10.936	0.11	-0.37298	0.53792	0
3.589	-14.5	-12.628	0.11	-0.43068	0.49452	0
3.593	-13.047	-14.172	0.11	-0.48334	0.44495	0
3.599	-11.429	-15.55	0.111	-0.53032	0.38979	0
3.604	-9.667	-16.743	0.111	-0.57102	0.32967	0
3.607	-7.78	-17.737	0.112	-0.60492	0.26533	0
3.613	-5.792	-18.519	0.112	-0.63161	0.19754	0
