F	X	Y	Z	W	P	R
1.856	53.196	35.922	1.227	1.2252	-1.81454	0
1.856	52.056	37.573	1.227	1.28151	-1.77563	0
1.857	50.864	39.187	1.227	1.3366	-1.73496	0
1.859	49.622	40.764	1.228	1.39039	-1.69259	0
1.86	48.331	42.302	1.228	1.44284	-1.64855	0
1.86	46.993	43.799	1.229	1.4939	-1.60288	0
1.86	45.608	45.253	1.229	1.54352	-1.55564	0
1.859	44.178	46.664	1.229	1.59165	-1.50686	0
1.857	42.705	48.029	1.23	1.63823	-1.4566	0
1.854	41.19	49.348	1.23	1.68323	-1.4049	0
1.852	39.633	50.619	1.231	1.7266	-1.3518	0
1.849	38.038	51.841	1.231	1.7683	-1.29738	0
1.846	36.404	53.012	1.231	1.80825	-1.24165	0
1.844	34.735	54.132	1.232	1.84648	-1.18471	0
1.842	33.031	55.2	1.232	1.88291	-1.12659	0
1.841	31.294	56.215	1.232	1.91754	-1.06732	0
1.841	29.526	57.174	1.233	1.95028	-1.00703	0
1.841	27.729	58.078	1.233	1.98112	-0.94573	0
1.842	25.904	58.925	1.234	2.01004	-0.8835	0
1.843	24.054	59.715	1.234	2.037	-0.82038	0
1.844	22.179	60.447	1.234	2.06198	-0.75644	0
1.845	20.282	61.121	1.235	2.08496	-0.69174	0
1.846	18.365	61.734	1.235	2.1059	-0.62635	0
1.847	16.429	62.288	1.235	2.12479	-0.56032	0
1.849	14.477	62.781	1.236	2.1416	-0.49373	0
1.849	12.509	63.212	1.236	2.15633	-0.42663	0
1.85	10.529	63.582	1.237	2.16896	-0.3591	0
1.85	8.538	63.89	1.237	2.17947	-0.2912	0
1.851	6.538	64.136	1.237	2.18785	-0.22299	0
1.851	4.531	64.319	1.238	2.1941	-0.15454	0
1.852	2.519	64.439	1.238	2.1982	-0.08592	0
1.851	0.504	64.496	1.239	2.20015	-0.0172	0
1.85	-1.512	64.489	1.239	2.19992	0.05156	0
1.849	-3.527	64.421	1.239	2.19758	0.1203	0
1.847	-5.54	64.289	1.24	2.19308	0.18893	0
1.845	-7.547	64.094	1.24	2.18644	0.2574	0
1.843	-9.548	63.837	1.24	2.17766	0.32565	0
1.841	-11.542	63.517	1.241	2.16674	0.39363	0
1.838	-13.523	63.135	1.241	2.1537	0.46122	0
1.836	-15.492	62.691	1.242	2.13855	0.52837	0
1.833	-17.447	62.186	1.242	2.12131	0.59503	0
1.83	-19.385	61.62	1.242	2.10199	0.66113	0
1.828	-21.305	60.993	1.243	2.08061	0.7266	0
1.825	-23.204	60.307	1.243	2.05719	0.79139	0
1.822	-25.081	59.562	1.244	2.03175	0.85542	0
1.82	-26.935	58.758	1.244	2.00432	0.91864	0
1.818	-28.763	57.896	1.244	1.97491	0.98098	0
1.817	-30.563	56.978	1.245	1.94357	1.04239	0
1.816	-32.333	56.003	1.245	1.91032	1.10279	0
1.816	-34.073	54.974	1.245	1.8752	1.16214	0
1.816	-35.78	53.89	1.246	1.83823	1.22037	0
1.817	-37.453	52.754	1.246	1.79945	1.27742	0
1.818	-39.089	51.565	1.247	1.75888	1.33323	0
1.819	-40.688	50.326	1.247	1.7166	1.38777	0
1.82	-42.247	49.037	1.247	1.67263	1.44097	0
1.821	-43.766	47.7	1.248	1.62701	1.49279	0
1.82	-45.242	46.316	1.248	1.57979	1.54316	0
1.82	-46.675	44.886	1.248	1.53102	1.59203	0
1.818	-48.062	43.412	1.249	1.48073	1.63937	0
1.816	-49.403	41.896	1.249	1.42898	1.68513	0
1.813	-50.697	40.336	1.25	1.37579	1.72927	0
1.81	-51.941	38.738	1.25	1.32127	1.77171	0
1.808	-53.135	37.102	1.25	1.26544	1.81244	0
1.806	-54.277	35.428	1.251	1.20836	1.8514	0
1.804	-55.366	33.72	1.251	1.15008	1.88857	0
1.803	-56.401	31.978	1.252	1.09066	1.92391	0
1.803	-57.382	30.204	1.252	1.03016	1.95738	0
1.802	-58.307	28.4	1.252	0.96863	1.98894	0
1.803	-59.175	26.568	1.253	0.90614	2.01857	0
1.804	-59.986	24.71	1.253	0.84275	2.04624	0
1.805	-60.738	22.826	1.254	0.77851	2.07191	0
1.806	-61.432	20.92	1.254	0.71349	2.09557	0
1.807	-62.064	18.993	1.254	0.64775	2.11715	0
1.808	-62.637	17.046	1.255	0.58137	2.1367	0
1.809	-63.149	15.083	1.255	0.51439	2.15417	0
1.81	-63.599	13.104	1.255	0.4469	2.16954	0
1.811	-63.987	11.111	1.256	0.37895	2.1828	0
1.812	-64.313	9.107	1.256	0.3106	2.19392	0
1.812	-64.577	7.094	1.257	0.24194	2.2029	0
1.813	-64.777	5.073	1.257	0.17301	2.20973	0
1.813	-64.914	3.046	1.257	0.1039	2.2144	0
1.813	-64.987	1.016	1.258	0.03466	2.21691	0
1.812	-64.997	-1.017	1.258	-0.03467	2.21725	0
1.811	-64.944	-3.048	1.258	-0.10395	2.21543	0
1.809	-64.827	-5.077	1.259	-0.17315	2.21143	0
1.807	-64.646	-7.102	1.259	-0.2422	2.20528	0
1.805	-64.402	-9.12	1.26	-0.31103	2.19696	0
1.803	-64.096	-11.13	1.26	-0.37959	2.1865	0
1.8	-63.726	-13.13	1.26	-0.44779	2.17389	0
1.798	-63.295	-15.117	1.261	-0.51558	2.15915	0
1.796	-62.801	-17.091	1.261	-0.58289	2.1423	0
1.793	-62.246	-19.048	1.262	-0.64965	2.12335	0
1.79	-61.628	-20.987	1.262	-0.71578	2.10229	0
1.788	-60.952	-22.907	1.262	-0.78125	2.07919	0
1.785	-60.215	-24.804	1.263	-0.84597	2.05406	0
1.783	-59.42	-26.678	1.263	-0.90989	2.02691	0
1.781	-58.566	-28.527	1.263	-0.97294	1.99778	0
1.78	-57.655	-30.348	1.264	-1.03505	1.96668	0
1.779	-56.687	-32.14	1.264	-1.09618	1.93365	0
1.778	-55.663	-33.901	1.265	-1.15626	1.89872	0
1.779	-54.585	-35.63	1.265	-1.21522	1.86192	0
1.779	-53.453	-37.324	1.265	-1.27302	1.82329	0
1.78	-52.268	-38.982	1.266	-1.32959	1.78287	0
1.781	-51.032	-40.603	1.266	-1.38488	1.7407	0
1.782	-49.745	-42.185	1.267	-1.43887	1.69678	0
1.783	-48.41	-43.726	1.267	-1.49143	1.65122	0
1.783	-47.027	-45.225	1.267	-1.54256	1.60404	0
1.782	-45.597	-46.68	1.268	-1.59219	1.55527	0
1.781	-44.123	-48.089	1.268	-1.64029	1.50496	0
1.779	-42.605	-49.452	1.269	-1.6868	1.45318	0
1.777	-41.045	-50.767	1.269	-1.73167	1.39995	0
1.774	-39.444	-52.033	1.269	-1.77486	1.34535	0
1.772	-37.804	-53.248	1.27	-1.81631	1.28939	0
1.77	-36.127	-54.412	1.27	-1.85602	1.23218	0
1.768	-34.414	-55.523	1.27	-1.89393	1.17375	0
1.767	-32.667	-56.58	1.271	-1.93001	1.11415	0
1.766	-30.887	-57.582	1.271	-1.9642	1.05345	0
1.766	-29.077	-58.528	1.272	-1.99649	0.9917	0
1.766	-27.237	-59.418	1.272	-2.02684	0.92896	0
1.767	-25.371	-60.249	1.272	-2.05521	0.8653	0
1.768	-23.479	-61.022	1.273	-2.08159	0.80077	0
1.769	-21.564	-61.735	1.273	-2.10593	0.73544	0
1.77	-19.627	-62.389	1.274	-2.12823	0.66938	0
1.772	-17.67	-62.981	1.274	-2.14845	0.60264	0
1.773	-15.695	-63.512	1.274	-2.16658	0.53529	0
1.773	-13.705	-63.982	1.275	-2.1826	0.4674	0
1.774	-11.7	-64.389	1.275	-2.19649	0.39904	0
1.775	-9.682	-64.733	1.276	-2.20824	0.33022	0
1.776	-7.656	-65.014	1.276	-2.21783	0.2611	0
1.776	-5.621	-65.231	1.276	-2.22525	0.1917	0
1.776	-3.58	-65.385	1.277	-2.2305	0.1221	0
1.776	-1.535	-65.475	1.277	-2.23357	0.05235	0
1.775	0.512	-65.5	1.277	-2.23442	-0.01747	0
1.774	2.559	-65.462	1.278	-2.23312	-0.08729	0
1.773	4.605	-65.36	1.278	-2.22964	-0.15705	0
1.771	6.646	-65.194	1.279	-2.22398	-0.22667	0
1.769	8.682	-64.964	1.279	-2.21614	-0.2961	0
1.767	10.71	-64.671	1.279	-2.20613	-0.36525	0
1.765	12.728	-64.315	1.28	-2.19397	-0.43408	0
1.762	14.734	-63.895	1.28	-2.17965	-0.5025	0
1.76	16.726	-63.413	1.281	-2.1632	-0.57045	0
1.758	18.703	-62.869	1.281	-2.14463	-0.63786	0
1.755	20.662	-62.263	1.281	-2.12395	-0.70467	0
1.753	22.601	-61.597	1.282	-2.1012	-0.77082	0
1.751	24.519	-60.869	1.282	-2.07638	-0.83623	0
1.748	26.413	-60.082	1.283	-2.04953	-0.90085	0
1.747	28.282	-59.237	1.283	-2.02066	-0.9646	0
1.745	30.124	-58.333	1.283	-1.98981	-1.02744	0
1.744	31.938	-57.371	1.284	-1.95701	-1.08929	0
1.743	33.721	-56.353	1.284	-1.92227	-1.15013	0
1.743	35.472	-55.28	1.284	-1.88565	-1.20983	0
1.743	37.188	-54.153	1.285	-1.84718	-1.26837	0
1.744	38.867	-52.971	1.285	-1.80687	-1.32567	0
1.745	40.51	-51.739	1.286	-1.7648	-1.38171	0
1.747	42.114	-50.455	1.286	-1.721	-1.43642	0
1.747	43.677	-49.122	1.286	-1.67551	-1.48974	0
1.748	45.197	-47.74	1.287	-1.62836	-1.54162	0
1.747	46.674	-46.311	1.287	-1.57961	-1.59202	0
1.746	48.106	-44.836	1.288	-1.52931	-1.64087	0
1.744	49.492	-43.317	1.288	-1.47749	-1.68814	0
1.742	50.829	-41.756	1.288	-1.42422	-1.73377	0
1.739	52.117	-40.153	1.289	-1.36953	-1.77772	0
1.737	53.355	-38.51	1.289	-1.3135	-1.81995	0
1.735	54.541	-36.83	1.29	-1.25616	-1.86041	0
1.733	55.673	-35.112	1.29	-1.19758	-1.89907	0
1.732	56.752	-33.36	1.29	-1.13781	-1.93588	0
1.731	57.776	-31.575	1.291	-1.07692	-1.97081	0
1.732	58.743	-29.758	1.291	-1.01495	-2.00383	0
1.732	59.654	-27.912	1.291	-0.95198	-2.0349	0
1.733	60.506	-26.038	1.292	-0.88805	-2.06399	0
1.733	61.3	-24.138	1.292	-0.82325	-2.09107	0
1.734	62.034	-22.213	1.293	-0.75758	-2.11613	0
1.735	62.707	-20.266	1.293	-0.69117	-2.13908	0
1.736	63.319	-18.299	1.293	-0.62409	-2.15998	0
1.737	63.87	-16.313	1.294	-0.55637	-2.17877	0
1.738	64.358	-14.311	1.294	-0.48809	-2.19544	0
1.739	64.784	-12.295	1.295	-0.41932	-2.20997	0
1.74	65.146	-10.266	1.295	-0.35011	-2.22234	0
1.74	65.445	-8.226	1.295	-0.28054	-2.23254	0
1.741	65.68	-6.177	1.296	-0.21068	-2.24057	0
1.741	65.851	-4.122	1.296	-0.14059	-2.2464	0
1.741	65.958	-2.062	1.297	-0.07034	-2.25004	0
1.74	66	0	1.297	0	-2.25149	0
1.689	65.98	2.003	1.297	0.06832	-2.25079	0
1.688	65.897	4.005	1.298	0.13659	-2.24798	0
1.687	65.755	6.004	1.298	0.20476	-2.24314	0
1.685	65.553	7.999	1.298	0.2728	-2.23622	0
1.683	65.289	9.986	1.299	0.34057	-2.22721	0
1.681	64.965	11.964	1.299	0.40805	-2.21618	0
1.679	64.582	13.933	1.3	0.47517	-2.2031	0
1.677	64.138	15.888	1.3	0.54187	-2.18795	0
1.675	63.636	17.83	1.3	0.60809	-2.17081	0
1.673	63.076	19.756	1.301	0.67378	-2.15167	0
1.67	62.455	21.664	1.301	0.73886	-2.13051	0
1.668	61.778	23.554	1.301	0.80332	-2.1074	0
1.666	61.044	25.422	1.302	0.86702	-2.08235	0
1.664	60.253	27.266	1.302	0.92994	-2.05534	0
1.662	59.407	29.086	1.303	0.99203	-2.02646	0
1.661	58.505	30.88	1.303	1.05322	-1.99571	0
1.66	57.549	32.646	1.303	1.11345	-1.96308	0
1.66	56.541	34.383	1.304	1.17269	-1.92866	0
1.66	55.48	36.088	1.304	1.23086	-1.89245	0
1.66	54.366	37.761	1.305	1.28794	-1.85444	0
1.661	53.203	39.399	1.305	1.34383	-1.81476	0
1.662	51.99	41.002	1.305	1.3985	-1.77339	0
1.663	50.729	42.567	1.306	1.45188	-1.73036	0
1.664	49.421	44.093	1.306	1.50395	-1.68574	0
1.664	48.068	45.58	1.306	1.55466	-1.63956	0
1.664	46.669	47.024	1.307	1.60393	-1.59183	0
1.663	45.226	48.426	1.307	1.65179	-1.54261	0
1.661	43.742	49.784	1.308	1.69811	-1.49199	0
1.659	42.217	51.095	1.308	1.74286	-1.43996	0
1.657	40.653	52.361	1.308	1.78604	-1.3866	0
1.654	39.052	53.579	1.309	1.82759	-1.33196	0
1.652	37.413	54.746	1.309	1.86744	-1.27605	0
1.651	35.74	55.865	1.31	1.90561	-1.21897	0
1.65	34.033	56.932	1.31	1.94203	-1.16076	0
1.649	32.293	57.947	1.31	1.97667	-1.1014	0
1.649	30.524	58.91	1.311	2.0095	-1.04107	0
1.649	28.726	59.817	1.311	2.04046	-0.97974	0
1.65	26.902	60.67	1.311	2.06958	-0.91752	0
1.65	25.052	61.468	1.312	2.09681	-0.85442	0
1.651	23.178	62.208	1.312	2.12207	-0.79051	0
1.652	21.283	62.892	1.313	2.14543	-0.72587	0
1.653	19.368	63.519	1.313	2.16681	-0.66054	0
1.654	17.432	64.086	1.313	2.18617	-0.59453	0
1.655	15.482	64.596	1.314	2.20355	-0.52801	0
1.656	13.516	65.045	1.314	2.21891	-0.46098	0
1.656	11.538	65.435	1.314	2.23219	-0.3935	0
1.657	9.548	65.764	1.315	2.24345	-0.32564	0
1.657	7.549	66.034	1.315	2.25264	-0.25747	0
1.658	5.543	66.242	1.316	2.25973	-0.18903	0
1.658	3.529	66.389	1.316	2.26477	-0.12036	0
1.658	1.513	66.476	1.316	2.26772	-0.05161	0
1.657	-0.505	66.5	1.317	2.26855	0.01722	0
1.656	-2.523	66.464	1.317	2.26733	0.08605	0
1.655	-4.54	66.367	1.318	2.26401	0.15482	0
1.654	-6.552	66.208	1.318	2.25857	0.22347	0
1.652	-8.56	65.988	1.318	2.25108	0.29193	0
1.65	-10.56	65.708	1.319	2.24151	0.36015	0
1.648	-12.552	65.366	1.319	2.22984	0.42808	0
1.646	-14.532	64.964	1.319	2.21614	0.49561	0
1.644	-16.499	64.503	1.32	2.2004	0.56271	0
1.642	-18.452	63.982	1.32	2.18259	0.6293	0
1.64	-20.388	63.402	1.321	2.1628	0.69533	0
1.638	-22.306	62.763	1.321	2.14101	0.76075	0
1.636	-24.203	62.066	1.321	2.11721	0.82548	0
1.634	-26.08	61.312	1.322	2.09148	0.88947	0
1.633	-27.933	60.501	1.322	2.0638	0.95271	0
1.631	-29.761	59.633	1.322	2.0342	1.01503	0
1.63	-31.561	58.711	1.323	2.00274	1.07645	0
1.629	-33.333	57.735	1.323	1.96943	1.1369	0
1.628	-35.075	56.705	1.324	1.93426	1.19631	0
1.628	-36.785	55.623	1.324	1.89734	1.25464	0
1.629	-38.462	54.489	1.324	1.85865	1.31184	0
1.63	-40.104	53.303	1.325	1.81819	1.36786	0
1.631	-41.709	52.069	1.325	1.77609	1.42263	0
1.632	-43.277	50.787	1.326	1.73234	1.4761	0
1.632	-44.804	49.457	1.326	1.68696	1.52821	0
1.632	-46.291	48.082	1.326	1.64004	1.57895	0
1.632	-47.736	46.662	1.327	1.5916	1.62825	0
1.631	-49.137	45.198	1.327	1.54165	1.67604	0
1.629	-50.493	43.693	1.327	1.49029	1.72232	0
1.627	-51.805	42.146	1.328	1.43751	1.76706	0
1.625	-53.067	40.56	1.328	1.3834	1.81013	0
1.623	-54.281	38.936	1.329	1.32803	1.85157	0
1.621	-55.446	37.277	1.329	1.27141	1.89132	0
1.62	-56.56	35.582	1.329	1.21359	1.92931	0
1.619	-57.622	33.854	1.33	1.15465	1.96556	0
1.619	-58.632	32.095	1.33	1.09464	2.00001	0
1.618	-59.587	30.305	1.331	1.03358	2.0326	0
1.619	-60.488	28.486	1.331	0.97154	2.06338	0
1.619	-61.334	26.641	1.331	0.90861	2.09224	0
1.62	-62.123	24.771	1.332	0.84482	2.11915	0
1.621	-62.855	22.877	1.332	0.78025	2.14415	0
1.621	-63.53	20.963	1.333	0.71494	2.16718	0
1.622	-64.145	19.028	1.333	0.64894	2.18819	0
1.623	-64.703	17.075	1.333	0.58234	2.20722	0
1.624	-65.201	15.104	1.334	0.51514	2.22423	0
1.625	-65.638	13.121	1.334	0.44748	2.23915	0
1.625	-66.016	11.124	1.334	0.37939	2.25204	0
1.626	-66.333	9.117	1.335	0.31094	2.26286	0
1.626	-66.588	7.101	1.335	0.24218	2.27157	0
1.627	-66.783	5.078	1.336	0.17317	2.27822	0
1.627	-66.917	3.049	1.336	0.10399	2.28277	0
1.627	-66.987	1.017	1.336	0.03469	2.28518	0
1.626	-66.997	-1.017	1.337	-0.0347	2.28552	0
1.625	-66.945	-3.05	1.337	-0.10404	2.28372	0
1.624	-66.831	-5.081	1.338	-0.1733	2.27985	0
1.622	-66.656	-7.108	1.338	-0.24242	2.27388	0
1.621	-66.419	-9.129	1.338	-0.31134	2.26577	0
1.619	-66.121	-11.142	1.339	-0.38	2.25561	0
1.617	-65.762	-13.145	1.339	-0.44832	2.24336	0
1.615	-65.342	-15.137	1.339	-0.51625	2.22901	0
1.613	-64.862	-17.117	1.34	-0.58376	2.21263	0
1.611	-64.322	-19.08	1.34	-0.65073	2.19421	0
1.609	-63.722	-21.026	1.341	-0.7171	2.17373	0
1.607	-63.064	-22.953	1.341	-0.78284	2.15127	0
1.605	-62.347	-24.86	1.341	-0.84788	2.12682	0
1.604	-61.573	-26.744	1.342	-0.91215	2.10038	0
1.602	-60.742	-28.605	1.342	-0.9756	2.07202	0
1.601	-59.854	-30.441	1.343	-1.03822	2.04173	0
1.6	-58.911	-32.247	1.343	-1.09985	2.00953	0
1.599	-57.913	-34.025	1.343	-1.1605	1.97551	0
1.598	-56.863	-35.772	1.344	-1.22009	1.93965	0
1.598	-55.758	-37.486	1.344	-1.27857	1.90197	0
1.599	-54.603	-39.167	1.344	-1.3359	1.86255	0
1.6	-53.397	-40.812	1.345	-1.39202	1.82141	0
1.601	-52.141	-42.419	1.345	-1.44685	1.77855	0
1.602	-50.837	-43.99	1.346	-1.50042	1.73404	0
1.602	-49.486	-45.519	1.346	-1.55259	1.68794	0
1.602	-48.088	-47.006	1.346	-1.60333	1.64025	0
1.602	-46.646	-48.451	1.347	-1.65263	1.59106	0
1.6	-45.161	-49.851	1.347	-1.70042	1.5404	0
1.599	-43.634	-51.206	1.348	-1.74663	1.48827	0
1.597	-42.066	-52.514	1.348	-1.79127	1.43479	0
1.594	-40.459	-53.775	1.348	-1.83427	1.37997	0
1.593	-38.813	-54.986	1.349	-1.8756	1.3238	0
1.591	-37.132	-56.146	1.349	-1.91521	1.26646	0
1.59	-35.416	-57.256	1.35	-1.95307	1.20793	0
1.589	-33.667	-58.312	1.35	-1.98911	1.14826	0
1.589	-31.886	-59.316	1.35	-2.02336	1.08753	0
1.589	-30.076	-60.265	1.351	-2.05576	1.02578	0
1.59	-28.237	-61.158	1.351	-2.08623	0.96306	0
1.59	-26.371	-61.996	1.351	-2.11485	0.89941	0
1.591	-24.481	-62.778	1.352	-2.1415	0.83494	0
1.591	-22.568	-63.5	1.352	-2.16616	0.76968	0
1.592	-20.633	-64.165	1.353	-2.18886	0.70371	0
1.593	-18.679	-64.771	1.353	-2.20955	0.63707	0
1.594	-16.707	-65.317	1.353	-2.22818	0.56981	0
1.594	-14.72	-65.804	1.354	-2.24479	0.50202	0
1.595	-12.718	-66.23	1.354	-2.25933	0.43374	0
1.596	-10.702	-66.594	1.355	-2.27178	0.36501	0
1.597	-8.678	-66.899	1.355	-2.28215	0.29596	0
1.597	-6.645	-67.141	1.355	-2.29043	0.22662	0
1.597	-4.605	-67.321	1.356	-2.29656	0.15705	0
1.597	-2.56	-67.439	1.356	-2.30061	0.08731	0
1.597	-0.512	-67.496	1.356	-2.30255	0.01748	0
1.596	1.536	-67.49	1.357	-2.30232	-0.05239	0
1.595	3.584	-67.422	1.357	-2.30001	-0.12224	0
1.594	5.631	-67.292	1.358	-2.29558	-0.19203	0
1.593	7.671	-67.099	1.358	-2.28899	-0.26162	0
1.591	9.705	-66.845	1.358	-2.28033	-0.33099	0
1.589	11.731	-66.53	1.359	-2.26956	-0.40008	0
1.587	13.746	-66.152	1.359	-2.25667	-0.46882	0
1.586	15.75	-65.714	1.36	-2.24172	-0.53715	0
1.584	17.739	-65.215	1.36	-2.22471	-0.60501	0
1.582	19.714	-64.655	1.36	-2.20559	-0.67236	0
1.58	21.67	-64.037	1.361	-2.18448	-0.73908	0
1.578	23.607	-63.359	1.361	-2.16135	-0.80514	0
1.577	25.522	-62.622	1.362	-2.13619	-0.87046	0
1.575	27.415	-61.828	1.362	-2.10908	-0.93502	0
1.573	29.283	-60.976	1.362	-2.08002	-0.99873	0
1.572	31.124	-60.067	1.363	-2.04901	-1.06153	0
1.571	32.937	-59.104	1.363	-2.01613	-1.12339	0
1.57	34.721	-58.084	1.363	-1.98134	-1.18425	0
1.57	36.474	-57.012	1.364	-1.94476	-1.24401	0
1.57	38.192	-55.887	1.364	-1.90637	-1.30265	0
1.571	39.876	-54.71	1.365	-1.86619	-1.36009	0
1.571	41.524	-53.483	1.365	-1.82431	-1.41631	0
1.572	43.134	-52.206	1.365	-1.78074	-1.47125	0
1.573	44.705	-50.879	1.366	-1.73548	-1.52482	0
1.574	46.235	-49.506	1.366	-1.68864	-1.57703	0
1.573	47.724	-48.087	1.367	-1.64021	-1.62783	0
1.573	49.168	-46.623	1.367	-1.59025	-1.67709	0
1.571	50.567	-45.116	1.367	-1.53884	-1.72485	0
1.569	51.921	-43.567	1.368	-1.486	-1.77103	0
1.568	53.226	-41.977	1.368	-1.43175	-1.81556	0
1.566	54.484	-40.348	1.369	-1.37619	-1.85847	0
1.564	55.691	-38.682	1.369	-1.31935	-1.89967	0
1.562	56.848	-36.978	1.369	-1.26122	-1.93913	0
1.561	57.952	-35.241	1.37	-1.20197	-1.97683	0
1.561	59.004	-33.471	1.37	-1.14159	-2.01271	0
1.561	60	-31.669	1.37	-1.08013	-2.04671	0
1.561	60.942	-29.838	1.371	-1.01768	-2.07888	0
1.562	61.829	-27.979	1.371	-0.95427	-2.10913	0
1.562	62.658	-26.094	1.372	-0.88995	-2.13742	0
1.563	63.43	-24.184	1.372	-0.8248	-2.16378	0
1.563	64.145	-22.25	1.372	-0.75884	-2.18816	0
1.564	64.799	-20.296	1.373	-0.69219	-2.21049	0
1.565	65.395	-18.323	1.373	-0.62489	-2.23082	0
1.565	65.93	-16.332	1.374	-0.557	-2.24911	0
1.566	66.404	-14.326	1.374	-0.48857	-2.26529	0
1.567	66.818	-12.306	1.374	-0.41968	-2.27941	0
1.568	67.171	-10.274	1.375	-0.35039	-2.29145	0
1.568	67.461	-8.232	1.375	-0.28074	-2.30134	0
1.569	67.689	-6.18	1.376	-0.21078	-2.30915	0
1.569	67.856	-4.124	1.376	-0.14065	-2.31483	0
1.569	67.959	-2.063	1.376	-0.07037	-2.31834	0
1.568	68	0	1.377	0	-2.31975	0
1.516	67.98	1.996	1.377	0.06808	-2.31906	0
1.516	67.902	3.991	1.378	0.13612	-2.3164	0
1.515	67.764	5.985	1.378	0.2041	-2.3117	0
1.513	67.568	7.972	1.378	0.27189	-2.30501	0
1.512	67.315	9.953	1.379	0.33946	-2.29637	0
1.51	67.003	11.927	1.379	0.40675	-2.28571	0
1.509	66.632	13.891	1.379	0.47376	-2.27307	0
1.507	66.206	15.843	1.38	0.54034	-2.25851	0
1.505	65.721	17.782	1.38	0.60646	-2.24196	0
1.504	65.179	19.706	1.381	0.67208	-2.22347	0
1.502	64.582	21.615	1.381	0.73719	-2.20308	0
1.5	63.928	23.504	1.381	0.80164	-2.18077	0
1.499	63.219	25.374	1.382	0.86541	-2.15657	0
1.497	62.456	27.223	1.382	0.92846	-2.13053	0
1.496	61.638	29.049	1.382	0.99076	-2.1026	0
1.494	60.767	30.85	1.383	1.0522	-2.0729	0
1.493	59.844	32.625	1.383	1.11274	-2.04138	0
1.493	58.868	34.372	1.384	1.17233	-2.00808	0
1.492	57.842	36.091	1.384	1.23098	-1.97305	0
1.492	56.765	37.779	1.384	1.28854	-1.93631	0
1.492	55.639	39.434	1.385	1.345	-1.89789	0
1.493	54.465	41.056	1.385	1.40034	-1.85784	0
1.494	53.243	42.643	1.385	1.4545	-1.81614	0
1.495	51.975	44.194	1.386	1.50739	-1.77288	0
1.495	50.663	45.707	1.386	1.55901	-1.72811	0
1.496	49.306	47.181	1.387	1.60929	-1.68181	0
1.495	47.906	48.615	1.387	1.65822	-1.63402	0
1.494	46.465	50.007	1.387	1.70573	-1.58487	0
1.493	44.983	51.356	1.388	1.75176	-1.53431	0
1.491	43.462	52.662	1.388	1.7963	-1.48241	0
1.489	41.902	53.923	1.389	1.83934	-1.42922	0
1.488	40.307	55.137	1.389	1.88077	-1.37479	0
1.486	38.676	56.304	1.389	1.92058	-1.31916	0
1.485	37.012	57.423	1.39	1.95878	-1.2624	0
1.484	35.315	58.493	1.39	1.99529	-1.20448	0
1.484	33.587	59.512	1.39	2.03007	-1.14555	0
1.484	31.83	60.481	1.391	2.06314	-1.08562	0
1.484	30.045	61.398	1.391	2.09442	-1.02474	0
1.485	28.234	62.261	1.392	2.12389	-0.96295	0
1.485	26.397	63.073	1.392	2.15159	-0.9003	0
1.486	24.537	63.829	1.392	2.17739	-0.83687	0
1.486	22.657	64.531	1.393	2.20135	-0.77272	0
1.487	20.756	65.177	1.393	2.2234	-0.70788	0
1.487	18.835	65.767	1.393	2.24354	-0.64237	0
1.488	16.899	66.301	1.394	2.26177	-0.57634	0
1.489	14.947	66.778	1.394	2.27802	-0.50978	0
1.489	12.983	67.196	1.395	2.29232	-0.44277	0
1.49	11.005	67.559	1.395	2.30468	-0.37533	0
1.49	9.018	67.861	1.395	2.31502	-0.30757	0
1.491	7.024	68.106	1.396	2.32336	-0.23954	0
1.491	5.022	68.293	1.396	2.32974	-0.17128	0
1.491	3.015	68.42	1.397	2.33407	-0.10282	0
1.491	1.005	68.488	1.397	2.33639	-0.03429	0
1.49	-1.005	68.498	1.397	2.33673	0.03429	0
1.49	-3.016	68.448	1.398	2.33503	0.10286	0
1.489	-5.026	68.338	1.398	2.3313	0.1714	0
1.487	-7.03	68.171	1.398	2.3256	0.23977	0
1.486	-9.03	67.945	1.399	2.31786	0.30795	0
1.485	-11.021	67.659	1.399	2.30812	0.37588	0
1.483	-13.006	67.316	1.4	2.29641	0.44356	0
1.482	-14.978	66.914	1.4	2.28269	0.51082	0
1.48	-16.938	66.454	1.4	2.267	0.57767	0
1.478	-18.884	65.938	1.401	2.24938	0.64404	0
1.477	-20.815	65.364	1.401	2.22977	0.70991	0
1.475	-22.728	64.733	1.401	2.20825	0.77514	0
1.474	-24.621	64.047	1.402	2.18484	0.83974	0
1.473	-26.494	63.305	1.402	2.15952	0.90361	0
1.471	-28.346	62.509	1.403	2.13234	0.96678	0
1.47	-30.173	61.658	1.403	2.10331	1.02908	0
1.469	-31.974	60.754	1.403	2.07245	1.09052	0
1.468	-33.748	59.798	1.404	2.03982	1.15104	0
1.467	-35.493	58.789	1.404	2.0054	1.21058	0
1.467	-37.21	57.729	1.405	1.96922	1.26912	0
1.467	-38.894	56.62	1.405	1.93138	1.32658	0
1.467	-40.544	55.462	1.405	1.89184	1.38288	0
1.468	-42.16	54.255	1.406	1.85066	1.43801	0
1.469	-43.742	53.001	1.406	1.80787	1.49197	0
1.47	-45.285	51.701	1.406	1.76352	1.5446	0
1.47	-46.789	50.356	1.407	1.71763	1.59592	0
